a,p,q,f,l,T,m,M
43835617,0.00002255,53.00000000,67088614,67088614,2021-04-25 17:00:00,False,True
43835618,0.00002254,97.00000000,67088615,67088615,2021-04-25 17:00:00,True,True
43835619,0.00002255,4947.00000000,67088616,67088617,2021-04-25 17:00:01,False,True
43835620,0.00002255,53.00000000,67088618,67088618,2021-04-25 17:00:01,True,True
43835621,0.00002255,9.00000000,67088619,67088619,2021-04-25 17:00:01,False,True
43835622,0.00002255,1771.00000000,67088620,67088620,2021-04-25 17:00:07,False,True
43835623,0.00002254,172.00000000,67088621,67088621,2021-04-25 17:00:08,True,True
43835624,0.00002254,446.00000000,67088622,67088622,2021-04-25 17:00:08,True,True
43835625,0.00002254,1430.00000000,67088623,67088623,2021-04-25 17:00:08,True,True
43835626,0.00002254,95.00000000,67088624,67088624,2021-04-25 17:00:08,True,True
43835627,0.00002255,26.00000000,67088625,67088625,2021-04-25 17:00:20,False,True
43835628,0.00002254,1061.00000000,67088626,67088627,2021-04-25 17:00:22,True,True
43835629,0.00002254,67.00000000,67088628,67088628,2021-04-25 17:00:24,True,True
43835630,0.00002255,5000.00000000,67088629,67088631,2021-04-25 17:00:26,False,True
43835631,0.00002255,2675.00000000,67088632,67088632,2021-04-25 17:00:36,True,True
43835632,0.00002255,136.00000000,67088633,67088633,2021-04-25 17:00:36,True,True
43835633,0.00002255,136.00000000,67088634,67088634,2021-04-25 17:00:37,True,True
43835634,0.00002256,34.00000000,67088635,67088636,2021-04-25 17:00:38,False,True
43835635,0.00002256,75.00000000,67088637,67088637,2021-04-25 17:00:38,False,True
43835636,0.00002255,190.00000000,67088638,67088638,2021-04-25 17:00:42,True,True
43835637,0.00002255,14.00000000,67088639,67088639,2021-04-25 17:00:44,True,True
43835638,0.00002256,9.00000000,67088640,67088640,2021-04-25 17:00:44,False,True
43835639,0.00002255,255.00000000,67088641,67088641,2021-04-25 17:00:45,True,True
43835640,0.00002255,117.00000000,67088642,67088642,2021-04-25 17:00:46,True,True
43835641,0.00002256,9.00000000,67088643,67088643,2021-04-25 17:00:48,False,True
43835642,0.00002257,43.00000000,67088644,67088644,2021-04-25 17:00:48,False,True
43835643,0.00002255,229.00000000,67088645,67088645,2021-04-25 17:00:54,True,True
43835644,0.00002255,525.00000000,67088646,67088646,2021-04-25 17:00:54,True,True
43835645,0.00002255,6000.00000000,67088647,67088647,2021-04-25 17:00:54,True,True
43835646,0.00002255,809.00000000,67088648,67088648,2021-04-25 17:00:54,True,True
43835647,0.00002255,1500.00000000,67088649,67088649,2021-04-25 17:00:54,True,True
43835648,0.00002255,6000.00000000,67088650,67088651,2021-04-25 17:00:54,True,True
43835649,0.00002255,3975.00000000,67088652,67088654,2021-04-25 17:00:54,True,True
43835650,0.00002254,1861.00000000,67088655,67088655,2021-04-25 17:00:54,True,True
43835651,0.00002254,1500.00000000,67088656,67088656,2021-04-25 17:00:54,True,True
43835652,0.00002254,1500.00000000,67088657,67088658,2021-04-25 17:00:54,True,True
43835653,0.00002255,377.00000000,67088659,67088659,2021-04-25 17:00:54,True,True
43835654,0.00002254,463.00000000,67088660,67088660,2021-04-25 17:00:54,True,True
43835655,0.00002254,313.00000000,67088661,67088661,2021-04-25 17:00:54,True,True
43835656,0.00002254,833.00000000,67088662,67088663,2021-04-25 17:00:54,True,True
43835657,0.00002254,5841.00000000,67088664,67088664,2021-04-25 17:00:54,True,True
43835658,0.00002253,282.00000000,67088665,67088665,2021-04-25 17:00:54,True,True
43835659,0.00002254,59.00000000,67088666,67088666,2021-04-25 17:00:54,True,True
43835660,0.00002254,169.00000000,67088667,67088667,2021-04-25 17:00:54,True,True
43835661,0.00002254,884.00000000,67088668,67088668,2021-04-25 17:00:54,True,True
43835662,0.00002254,55.00000000,67088669,67088669,2021-04-25 17:00:54,True,True
43835663,0.00002254,22.00000000,67088670,67088670,2021-04-25 17:00:54,True,True
43835664,0.00002254,109.00000000,67088671,67088671,2021-04-25 17:00:54,True,True
43835665,0.00002254,47.00000000,67088672,67088672,2021-04-25 17:00:54,True,True
43835666,0.00002254,2767.00000000,67088673,67088673,2021-04-25 17:00:54,True,True
43835667,0.00002253,189.00000000,67088674,67088674,2021-04-25 17:00:55,True,True
