a,p,q,f,l,T,m,M
905903,0.00000285,4566.00000000,1648994,1648994,2021-04-25 17:00:38,True,True
905904,0.00000287,4529.00000000,1648995,1648995,2021-04-25 17:00:49,False,True
905905,0.00000285,610.00000000,1648996,1648996,2021-04-25 17:00:49,True,True
905906,0.00000285,162.00000000,1648997,1648997,2021-04-25 17:00:52,True,True
905907,0.00000285,1023.00000000,1648998,1648998,2021-04-25 17:01:13,True,True
905908,0.00000285,4524.00000000,1648999,1648999,2021-04-25 17:01:22,True,True
905909,0.00000287,763.00000000,1649000,1649000,2021-04-25 17:02:43,False,True
905910,0.00000285,118897.00000000,1649001,1649006,2021-04-25 17:03:12,True,True
905911,0.00000285,2092.00000000,1649007,1649007,2021-04-25 17:03:13,False,True
905912,0.00000285,1345.00000000,1649008,1649008,2021-04-25 17:03:13,False,True
905913,0.00000285,333.00000000,1649009,1649009,2021-04-25 17:03:20,False,True
905914,0.00000287,1899.00000000,1649010,1649010,2021-04-25 17:03:26,False,True
905915,0.00000287,40.00000000,1649011,1649011,2021-04-25 17:03:39,False,True
905916,0.00000286,79.00000000,1649012,1649012,2021-04-25 17:03:59,True,True
905917,0.00000285,2244.00000000,1649013,1649014,2021-04-25 17:03:59,True,True
905918,0.00000284,124.00000000,1649015,1649015,2021-04-25 17:04:03,True,True
905919,0.00000284,1693.00000000,1649016,1649018,2021-04-25 17:04:04,True,True
905920,0.00000287,1679.00000000,1649019,1649019,2021-04-25 17:04:11,False,True
905921,0.00000284,100.00000000,1649020,1649020,2021-04-25 17:04:35,True,True
905922,0.00000287,962.00000000,1649021,1649021,2021-04-25 17:04:40,False,True
905923,0.00000287,769.00000000,1649022,1649025,2021-04-25 17:05:21,False,True
905924,0.00000287,10.00000000,1649026,1649026,2021-04-25 17:05:30,False,True
905925,0.00000287,149.00000000,1649027,1649027,2021-04-25 17:05:30,False,True
905926,0.00000285,328.00000000,1649028,1649029,2021-04-25 17:05:34,True,True
905927,0.00000284,18210.00000000,1649030,1649042,2021-04-25 17:05:34,True,True
905928,0.00000284,117.00000000,1649043,1649043,2021-04-25 17:05:34,False,True
905929,0.00000284,160.00000000,1649044,1649044,2021-04-25 17:05:34,False,True
905930,0.00000284,704.00000000,1649045,1649045,2021-04-25 17:05:42,False,True
905931,0.00000284,3570.00000000,1649046,1649046,2021-04-25 17:05:44,False,True
905932,0.00000283,6821.00000000,1649047,1649054,2021-04-25 17:05:48,True,True
905933,0.00000284,842.00000000,1649055,1649055,2021-04-25 17:05:49,False,True
905934,0.00000283,73.00000000,1649056,1649056,2021-04-25 17:06:22,True,True
905935,0.00000283,37.00000000,1649057,1649057,2021-04-25 17:06:26,True,True
905936,0.00000283,47.00000000,1649058,1649058,2021-04-25 17:06:26,True,True
905937,0.00000284,16412.00000000,1649059,1649061,2021-04-25 17:06:29,False,True
905938,0.00000285,331.00000000,1649062,1649063,2021-04-25 17:06:42,False,True
905939,0.00000286,24145.00000000,1649064,1649067,2021-04-25 17:06:42,False,True
905940,0.00000284,2595.00000000,1649068,1649070,2021-04-25 17:07:10,True,True
905941,0.00000284,1715.00000000,1649071,1649071,2021-04-25 17:07:16,False,True
905942,0.00000284,1100.00000000,1649072,1649072,2021-04-25 17:07:20,False,True
905943,0.00000284,7167.00000000,1649073,1649073,2021-04-25 17:07:21,False,True
905944,0.00000284,24557.00000000,1649074,1649074,2021-04-25 17:07:47,False,True
905945,0.00000284,7575.00000000,1649075,1649075,2021-04-25 17:08:11,False,True
905946,0.00000283,2577.00000000,1649076,1649076,2021-04-25 17:08:19,True,True
905947,0.00000283,235.00000000,1649077,1649077,2021-04-25 17:08:21,True,True
905948,0.00000284,842.00000000,1649078,1649078,2021-04-25 17:08:36,False,True
905949,0.00000283,1662.00000000,1649079,1649079,2021-04-25 17:08:37,True,True
905950,0.00000283,419.00000000,1649080,1649080,2021-04-25 17:08:39,True,True
905951,0.00000283,86.00000000,1649081,1649081,2021-04-25 17:08:40,True,True
905952,0.00000284,14575.00000000,1649082,1649082,2021-04-25 17:08:41,False,True
905953,0.00000283,705.00000000,1649083,1649083,2021-04-25 17:08:43,True,True
905954,0.00000283,1589.00000000,1649084,1649088,2021-04-25 17:08:46,True,True
905955,0.00000283,127.00000000,1649089,1649089,2021-04-25 17:08:49,True,True
905956,0.00000284,6749.00000000,1649090,1649090,2021-04-25 17:08:52,False,True
905957,0.00000283,1521.00000000,1649091,1649092,2021-04-25 17:08:57,True,True
905958,0.00000284,159.00000000,1649093,1649093,2021-04-25 17:09:07,False,True
905959,0.00000283,70.00000000,1649094,1649094,2021-04-25 17:09:08,True,True
905960,0.00000284,24457.00000000,1649095,1649095,2021-04-25 17:09:56,False,True
