a,p,q,f,l,T,m,M,
6078165,0.00009979,18,7587598,7587598,8:30:00 PM,FALSE,TRUE,
6078166,0.00009979,49,7587599,7587599,8:30:00 PM,FALSE,TRUE,0.00
6078167,0.00009979,698,7587600,7587600,8:30:00 PM,FALSE,TRUE,0.00
6078168,0.0000998,4,7587601,7587601,8:30:00 PM,FALSE,TRUE,0.01
6078169,0.00009981,128,7587602,7587602,8:30:00 PM,FALSE,TRUE,0.02
6078170,0.00009982,62,7587603,7587604,8:30:00 PM,FALSE,TRUE,0.03
6078171,0.00009985,1000,7587605,7587605,8:30:00 PM,FALSE,TRUE,0.06
6078172,0.00009987,490,7587606,7587606,8:30:00 PM,FALSE,TRUE,0.08
6078173,0.00009988,33,7587607,7587607,8:30:00 PM,FALSE,TRUE,0.09
6078174,0.00009989,279,7587608,7587612,8:30:00 PM,FALSE,TRUE,0.10
6078175,0.0000999,17324,7587613,7587620,8:30:00 PM,FALSE,TRUE,0.11
6078176,0.00009994,131,7587621,7587621,8:30:00 PM,FALSE,TRUE,0.15
6078177,0.00009995,250,7587622,7587622,8:30:00 PM,FALSE,TRUE,0.16
6078178,0.00009997,152,7587623,7587625,8:30:00 PM,FALSE,TRUE,0.18
6078179,0.00009998,183,7587626,7587628,8:30:00 PM,FALSE,TRUE,0.19
6078180,0.00009999,994,7587629,7587636,8:30:00 PM,FALSE,TRUE,0.20
6078181,0.0001,32445.86,7587637,7587725,8:30:00 PM,FALSE,TRUE,0.21
6078182,0.00010001,40,7587726,7587726,8:30:00 PM,FALSE,TRUE,0.22
6078183,0.0001001,15,7587727,7587728,8:30:00 PM,FALSE,TRUE,0.31
6078184,0.00010013,9,7587729,7587729,8:30:00 PM,FALSE,TRUE,0.34
6078185,0.00010016,1,7587730,7587730,8:30:00 PM,FALSE,TRUE,0.37
6078186,0.00010021,3,7587731,7587731,8:30:00 PM,FALSE,TRUE,0.42
6078187,0.00010023,749,7587732,7587732,8:30:00 PM,FALSE,TRUE,0.44
6078188,0.00010029,32,7587733,7587733,8:30:00 PM,FALSE,TRUE,0.50
6078189,0.00010038,22,7587734,7587734,8:30:00 PM,FALSE,TRUE,0.59
6078190,0.00010039,1,7587735,7587735,8:30:00 PM,FALSE,TRUE,0.60
6078191,0.00010043,7,7587736,7587736,8:30:00 PM,FALSE,TRUE,0.64
6078192,0.00010044,54,7587737,7587738,8:30:00 PM,FALSE,TRUE,0.65
6078193,0.00010049,1,7587739,7587739,8:30:00 PM,FALSE,TRUE,0.70
6078194,0.0001005,135,7587740,7587740,8:30:00 PM,FALSE,TRUE,0.71
6078195,0.00010052,72,7587741,7587741,8:30:00 PM,FALSE,TRUE,0.73
6078196,0.00010058,538,7587742,7587743,8:30:00 PM,FALSE,TRUE,0.79
6078197,0.00010062,20,7587744,7587744,8:30:00 PM,FALSE,TRUE,0.83
6078198,0.00010089,49,7587745,7587745,8:30:00 PM,FALSE,TRUE,1.10
6078199,0.00010099,1,7587746,7587746,8:30:00 PM,FALSE,TRUE,1.20
6078200,0.000101,396,7587747,7587751,8:30:00 PM,FALSE,TRUE,1.21
6078201,0.00010106,20,7587752,7587752,8:30:00 PM,FALSE,TRUE,1.27
6078202,0.00010108,4,7587753,7587753,8:30:00 PM,FALSE,TRUE,1.29
6078203,0.00010109,5,7587754,7587754,8:30:00 PM,FALSE,TRUE,1.30
6078204,0.00010119,2,7587755,7587755,8:30:00 PM,FALSE,TRUE,1.40
